cluster,month,hist_norm
68,9,4.828779
68,10,4.8161488
68,11,4.768726
68,12,4.741579
69,1,4.729155
69,2,4.7628813
69,3,4.7760158
69,4,4.8447924
69,5,4.867425
69,6,4.8487644
69,7,4.8281646
69,8,4.8226423
69,9,4.828507
69,10,4.825954
69,11,4.787033
69,12,4.74455
70,1,4.7915936
70,2,4.77763
70,3,4.818125
70,4,4.8960233
70,5,4.878593
70,6,4.8624578
70,7,4.828007
70,8,4.820023
70,9,4.8240385
70,10,4.8013377
70,11,4.7717414
70,12,4.7674794
71,1,4.7781286
71,2,4.7775416
71,3,4.8338237
71,4,4.8844523
71,5,4.8861856
71,6,4.870981
71,7,4.825523
71,8,4.820358
71,9,4.823006
71,10,4.814006
71,11,4.7761917
71,12,4.7762866
72,1,4.729926
72,2,4.7604885
72,3,4.8088694
72,4,4.8659644
72,5,4.860717
72,6,4.8632293
72,7,4.8218265
72,8,4.819202
72,9,4.828956
72,10,4.806187
72,11,4.7619967
72,12,4.776521
73,1,4.7788253
73,2,4.777694
73,3,4.8322616
73,4,4.8696446
73,5,4.8897343
73,6,4.868356
73,7,4.8343806
73,8,4.836061
73,9,4.844552
73,10,4.8177013
73,11,4.784498
73,12,4.7533183
74,1,4.829734
74,2,4.873313
74,3,4.832153
74,4,4.9171305
74,5,4.8700943
74,6,4.843868
74,7,4.818969
74,8,4.798718
74,9,4.794997
74,10,4.7846727
74,11,4.792536
74,12,4.83499
75,1,4.7333293
75,2,4.757844
75,3,4.808901
75,4,4.860655
75,5,4.8761063
75,6,4.8599772
75,7,4.83008
75,8,4.8286123
75,9,4.823343
75,10,4.819996
75,11,4.7755804
75,12,4.7598834
76,1,4.7303905
76,2,4.731245
76,3,4.8056283
76,4,4.8768735
76,5,4.8652945
76,6,4.8568964
76,7,4.838194
76,8,4.824588
76,9,4.8382983
76,10,4.8201284
76,11,4.7930903
76,12,4.812895
77,1,4.861501
77,2,4.8728538
77,3,4.8752613
77,4,4.947838
77,5,4.9017887
77,6,4.8867593
77,7,4.8528943
77,8,4.83869
77,9,4.84412
77,10,4.814391
77,11,4.8125753
77,12,4.845856
78,1,4.7144704
78,2,4.724342
78,3,4.762684
78,4,4.850097
78,5,4.8299212
78,6,4.8393865
78,7,4.817629
78,8,4.8075585
78,9,4.815273
78,10,4.789957
78,11,4.762703
78,12,4.7715063
79,1,4.69879
79,2,4.7193203
79,3,4.753083
79,4,4.8052483
79,5,4.821353
79,6,4.83566
79,7,4.832685
79,8,4.81796
79,9,4.836416
79,10,4.821178
79,11,4.785065
79,12,4.733689
80,1,4.8376117
80,2,4.81147
80,3,4.874457
80,4,4.9226847
80,5,4.912091
80,6,4.8655677
80,7,4.858034
80,8,4.8470006
80,9,4.8420634
80,10,4.8298583
80,11,4.8882914
80,12,4.8744454
81,1,4.7110486
81,2,4.722453
81,3,4.7558627
81,4,4.818726
81,5,4.839741
81,6,4.8331695
81,7,4.8321486
81,8,4.824043
81,9,4.8257565
81,10,4.820235
81,11,4.79063
