lat_r,lon_r,cluster
25.0,83.8,82
25.0,83.9,1521
25.0,84.0,1521
25.0,84.1,231
25.0,84.2,231
25.0,84.3,284
25.0,84.4,284
25.0,84.5,284
25.0,84.8,163
25.0,84.9,400
25.0,85.0,400
25.0,85.1,1261
25.0,85.2,1261
25.0,85.3,644
25.0,85.4,1653
25.0,85.5,1113
25.0,85.6,1113
25.0,85.7,1741
25.0,85.8,1741
25.0,85.9,785
25.0,86.0,785
25.0,86.2,1588
25.0,86.3,1588
25.0,86.4,1297
25.0,86.5,1297
25.0,86.6,1297
25.0,86.7,881
25.0,86.8,881
25.0,86.9,1451
25.0,87.0,1067
25.0,87.1,205
25.1,83.4,1133
25.1,83.5,1133
25.1,83.6,354
25.1,83.7,354
25.1,83.8,354
25.1,83.9,611
25.1,84.0,1521
25.1,84.1,231
25.1,84.2,231
25.1,84.3,780
25.1,84.4,780
25.1,84.5,780
25.1,84.8,1283
25.1,84.9,400
25.1,85.0,400
25.1,85.1,1261
25.1,85.2,1261
25.1,85.3,644
25.1,85.4,644
25.1,85.5,1113
25.1,85.6,1113
25.1,85.7,1113
25.1,85.8,720
25.1,85.9,720
25.1,86.2,1588
25.1,86.3,1588
25.1,86.4,607
25.1,86.5,607
25.1,86.6,1253
25.1,86.7,881
25.1,86.8,881
25.1,86.9,30
25.1,87.0,1002
25.1,87.1,1002
25.2,83.4,1133
25.2,83.5,1133
25.2,83.6,354
25.2,83.7,354
25.2,83.8,354
25.2,83.9,611
25.2,84.0,611
25.2,84.1,1310
25.2,84.2,1310
25.2,84.3,780
25.2,84.4,780
25.2,84.5,780
25.2,84.7,136
25.2,84.8,172
25.2,84.9,1135
25.2,85.0,1135
25.2,85.1,1135
25.2,85.2,644
25.2,85.3,644
25.2,85.4,644
25.2,85.5,784
25.2,85.6,784
25.2,85.7,1932
25.2,85.8,720
25.2,85.9,720
25.2,86.1,144
25.2,86.3,706
25.2,86.4,607
25.2,86.5,546
25.2,86.6,1253
25.2,86.7,1701
25.2,86.8,1701
25.2,86.9,30
25.2,87.0,30
25.2,87.1,1002
25.2,87.3,1331
25.3,83.5,1133
25.3,83.6,354
25.3,83.7,1956
25.3,83.8,1956
25.3,83.9,611
25.3,84.0,611
25.3,84.1,1310
25.3,84.2,1310
25.3,84.3,1310
25.3,84.4,780
25.3,84.7,172
25.3,84.8,172
25.3,84.9,1135
25.3,85.0,1135
25.3,85.1,1135
25.3,85.2,972
25.3,85.3,972
25.3,85.4,784
25.3,85.5,784
25.3,85.6,784
25.3,85.7,1932
25.3,85.8,1932
25.3,85.9,1019
25.3,86.1,1328
25.3,86.2,1328
25.3,86.3,706
25.3,86.4,1878
25.3,86.5,546
25.3,86.6,546
25.3,86.7,1701
25.3,86.8,1701
25.3,86.9,1234
25.3,87.0,30
25.3,87.2,1331
25.3,87.3,1331
25.3,87.4,1331
25.3,87.7,1026
25.3,87.8,1026
25.4,83.7,1956
25.4,83.8,1956
25.4,83.9,1956
25.4,84.0,147
25.4,84.1,147
25.4,84.2,1310
25.4,84.3,15
25.4,84.4,15
25.4,84.7,172
25.4,84.8,172
25.4,84.9,462
25.4,85.0,462
25.4,85.1,462
25.4,85.2,972
25.4,85.4,972
25.4,85.5,784
25.4,85.6,1703
25.4,85.7,1703
25.4,85.8,1932
25.4,86.1,1328
25.4,86.2,1328
25.4,86.3,1179
25.4,86.4,1893
25.4,86.5,1309
25.4,86.6,1309
25.4,86.7,31
25.4,86.8,31
25.4,86.9,1234
25.4,87.0,1391
25.4,87.2,1391
25.4,87.3,1331
25.4,87.4,1331
25.4,87.5,638
25.4,87.6,638
25.4,87.7,1026
25.5,83.9,147
25.5,84.0,147
25.5,84.1,147
25.5,84.2,996
25.5,84.3,15
25.5,84.4,1117
25.5,84.6,325
25.5,84.7,325
25.5,84.8,1301
25.5,84.9,1301
25.5,85.0,462
25.5,85.1,462
25.5,85.2,972
25.5,85.5,417
25.5,85.6,1930
25.5,85.7,1930
25.5,85.8,1930
25.5,86.0,1019
25.5,86.1,1684
25.5,86.2,1684
25.5,86.3,1179
25.5,86.4,1179
25.5,86.5,1309
25.5,86.6,1309
25.5,86.7,31
25.5,86.8,963
25.5,86.9,963
25.5,87.0,927
25.5,87.2,206
25.5,87.3,206
25.5,87.4,638
25.5,87.5,638
25.5,87.6,638
25.5,87.7,1924
25.5,87.8,1924
25.6,84.0,147
25.6,84.1,459
25.6,84.2,996
25.6,84.3,197
25.6,84.6,325
25.6,84.7,325
25.6,84.8,1301
25.6,84.9,672
25.6,85.0,672
25.6,85.1,1061
25.6,85.2,1061
25.6,85.4,417
25.6,85.6,1930
25.6,85.7,1930
25.6,86.0,1441
25.6,86.1,1684
25.6,86.2,1684
25.6,86.3,1179
25.6,86.4,656
25.6,86.5,258
25.6,86.6,258
25.6,86.7,955
25.6,86.8,963
25.6,86.9,963
25.6,87.1,927
25.6,87.2,206
25.6,87.3,1645
25.6,87.4,1645
25.6,87.5,1302
25.6,87.6,1302
25.6,87.7,1924
25.6,87.8,1924
25.6,87.9,365
25.6,88.0,365
25.7,84.1,459
25.7,84.6,84
25.7,84.7,84
25.7,84.8,84
25.7,84.9,672
25.7,85.0,1886
25.7,85.1,1061
25.7,85.4,417
25.7,85.5,417
25.7,85.6,833
25.7,85.7,833
25.7,86.0,1441
25.7,86.1,1532
25.7,86.2,1532
25.7,86.3,656
25.7,86.4,656
25.7,86.5,258
25.7,86.6,258
25.7,86.7,955
25.7,86.8,955
25.7,86.9,1482
25.7,87.1,1510
25.7,87.2,1510
25.7,87.3,1645
25.7,87.4,1645
25.7,87.5,1302
25.7,87.6,1302
25.7,87.7,928
25.7,87.8,928
25.7,87.9,365
25.7,88.0,365
25.8,84.7,84
25.8,84.8,84
25.8,84.9,1886
25.8,85.0,1886
25.8,85.1,1886
25.8,85.2,1027
25.8,85.3,1046
25.8,85.4,1046
25.8,85.5,279
25.8,85.6,833
25.8,85.7,833
25.8,86.1,1532
25.8,86.2,1532
25.8,86.3,656
25.8,86.4,656
25.8,86.5,258
25.8,86.6,258
25.8,86.7,1774
25.8,86.8,1774
25.8,86.9,1482
25.8,87.1,1510
25.8,87.2,168
25.8,87.3,168
25.8,87.4,1665
25.8,87.5,1665
25.8,87.6,1665
25.8,87.7,928
25.8,87.8,928
25.9,84.5,1009
25.9,84.6,1009
